GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22ADVPM0680Q1ZV,ANURAG MOMENTO HOUSE,AMH000001,Regular,01/04/2025,4012,Chhattisgarh,No,3400,0,306,306,0,Apr'25,13/05/2025,Yes,,100%,,,
22AABCB5803G1Z9,BOMBAY INTEGRATED SECURITY (INDIA) LIMITED,RAPR/25-26/189,Regular,31/05/2025,5706312.77,Chhattisgarh,No,4835858.28,0,435227.24,435227.24,0,May'25,10/06/2025,Yes,,100%,,,
29AAIFH5823Q1ZN,HIGH VACUUM PRODUCTS & INSTRUMENTS,001/25-26,Regular,06/05/2025,2930530,Chhattisgarh,No,2483500,447030,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AF05404,Regular,02/05/2025,3333,Chhattisgarh,No,3174,159,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AF45065,Regular,05/05/2025,3117,Chhattisgarh,No,2969,148,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG07372,Regular,08/05/2025,4559,Chhattisgarh,No,4342,217,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG10310,Regular,09/05/2025,5187,Chhattisgarh,No,4941,246,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG11592,Regular,09/05/2025,4838,Chhattisgarh,No,4608,230,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG15815,Regular,09/05/2025,199,Chhattisgarh,No,190,9,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG23689,Regular,09/05/2025,4838,Chhattisgarh,No,4608,230,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG57505,Regular,12/05/2025,5054,Chhattisgarh,No,4813,241,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG86922,Regular,14/05/2025,199,Chhattisgarh,No,190,9,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AG97626,Regular,14/05/2025,4559,Chhattisgarh,No,4342,217,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AH10802,Regular,15/05/2025,4838,Chhattisgarh,No,4608,230,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AH18107,Regular,16/05/2025,3548,Chhattisgarh,No,3379,169,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AH30076,Regular,16/05/2025,8173,Chhattisgarh,No,7784,389,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AABCI2726B1Z3,INTER GLOBE AVIATION LIMITED INDIGO,TS1252605AH34463,Regular,16/05/2025,199,Chhattisgarh,No,190,9,0,0,0,May'25,11/06/2025,Yes,,100%,,,
